INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182063138,301,Robbery,ROBBERY - STREET,D4,128,,2018-08-09 04:23:00,2018,8,Thursday,4,Part One,COLUMBUS AVE,42.3483427,-71.0722253,"(42.34834270, -71.07222530)"
I182063105,361,Robbery,ROBBERY - OTHER,B3,469,,2018-08-08 23:05:00,2018,8,Wednesday,23,Part One,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
I182063023,301,Robbery,ROBBERY - STREET,A1,112,,2018-08-08 17:45:00,2018,8,Wednesday,17,Part One,AVENUE DE LAFAYETTE,42.35331987,-71.06102314,"(42.35331987, -71.06102314)"
I182062803,301,Robbery,ROBBERY - STREET,A7,22,,2018-08-07 23:34:00,2018,8,Tuesday,23,Part One,BENNINGTON ST,42.37684713,-71.03367179,"(42.37684713, -71.03367179)"
I182062802,301,Robbery,ROBBERY - STREET,A7,24,,2018-08-07 23:39:00,2018,8,Tuesday,23,Part One,MARION ST,42.37817244,-71.03729943,"(42.37817244, -71.03729943)"
I182062790,361,Robbery,ROBBERY - OTHER,D4,618,,2018-08-07 21:40:00,2018,8,Tuesday,21,Part One,HUNTINGTON AVE,42.34091586,-71.08771531,"(42.34091586, -71.08771531)"
I182062558,301,Robbery,ROBBERY - STREET,A1,111,,2018-08-03 08:40:00,2018,8,Friday,8,Part One,WINTER ST,42.35554806,-71.0607314,"(42.35554806, -71.06073140)"
I182062514,301,Robbery,ROBBERY - STREET,A1,116,,2018-08-07 03:00:00,2018,8,Tuesday,3,Part One,BEACH ST,42.35131095,-71.06030942,"(42.35131095, -71.06030942)"
I182062315,301,Robbery,ROBBERY - STREET,A1,116,,2018-08-06 06:00:00,2018,8,Monday,6,Part One,BEACH ST,42.35125902,-71.06009371,"(42.35125902, -71.06009371)"
I182062282,361,Robbery,ROBBERY - OTHER,C11,405,,2018-06-24 00:00:00,2018,6,Sunday,0,Part One,SAINT GREGORY ST,42.27573089,-71.06909114,"(42.27573089, -71.06909114)"
I182062162,301,Robbery,ROBBERY - STREET,B2,280,,2018-08-06 01:35:00,2018,8,Monday,1,Part One,WARREN ST,42.32978737,-71.08324801,"(42.32978737, -71.08324801)"
I182062134,301,Robbery,ROBBERY - STREET,A1,104,,2018-08-05 22:13:00,2018,8,Sunday,22,Part One,FRANKLIN ST,42.35572908,-71.05891235,"(42.35572908, -71.05891235)"
I182062081,381,Robbery,ROBBERY - CAR JACKING,B3,472,,2018-08-05 16:59:00,2018,8,Sunday,16,Part One,ALMONT ST,42.2752767,-71.09554245,"(42.27527670, -71.09554245)"
I182062049,301,Robbery,ROBBERY - STREET,B2,319,,2018-08-05 15:40:00,2018,8,Sunday,15,Part One,BLUE HILL AVE,42.30711484,-71.08425151,"(42.30711484, -71.08425151)"
I182061882,301,Robbery,ROBBERY - STREET,B2,311,,2018-08-04 21:42:00,2018,8,Saturday,21,Part One,SAVIN ST,42.31719004,-71.08167267,"(42.31719004, -71.08167267)"
I182061863,301,Robbery,ROBBERY - STREET,D4,627,,2018-08-04 19:54:00,2018,8,Saturday,19,Part One,BOYLSTON ST,42.34601613,-71.0938121,"(42.34601613, -71.09381210)"
I182061834,301,Robbery,ROBBERY - STREET,B2,319,,2018-08-01 16:00:00,2018,8,Wednesday,16,Part One,BLUE HILL AVE,42.30803768,-71.08359213,"(42.30803768, -71.08359213)"
I182061695,301,Robbery,ROBBERY - STREET,A1,173,,2018-08-03 14:00:00,2018,8,Friday,14,Part One,ATLANTIC AVE,42.35218278,-71.0556788,"(42.35218278, -71.05567880)"
I182061583,301,Robbery,ROBBERY - STREET,A1,78,,2018-08-03 18:41:00,2018,8,Friday,18,Part One,HANOVER ST,42.36179428,-71.0571127,"(42.36179428, -71.05711270)"
I182061421,311,Robbery,ROBBERY - COMMERCIAL,A1,113,,2018-08-03 11:18:00,2018,8,Friday,11,Part One,ESSEX ST,42.35255981,-71.06043207,"(42.35255981, -71.06043207)"
I182061290,301,Robbery,ROBBERY - STREET,E13,307,,2018-08-02 22:17:00,2018,8,Thursday,22,Part One,W WALNUT PARK,42.31640336,-71.09770225,"(42.31640336, -71.09770225)"
I182061237,311,Robbery,ROBBERY - COMMERCIAL,C11,348,,2018-08-02 17:42:00,2018,8,Thursday,17,Part One,DORCHESTER AVE,42.30559368,-71.05887861,"(42.30559368, -71.05887861)"
I182061122,361,Robbery,ROBBERY - OTHER,B2,181,,2018-08-02 14:00:00,2018,8,Thursday,14,Part One,CEDRIC ST,42.32571409,-71.07131716,"(42.32571409, -71.07131716)"
I182061003,301,Robbery,ROBBERY - STREET,B3,457,,2018-08-02 08:10:00,2018,8,Thursday,8,Part One,ESMOND ST,42.29861988,-71.08511004,"(42.29861988, -71.08511004)"
I182060994,361,Robbery,ROBBERY - OTHER,D4,619,,2018-07-29 18:00:00,2018,7,Sunday,18,Part One,MASSACHUSETTS AVE,42.34439568,-71.08632016,"(42.34439568, -71.08632016)"
I182060879,301,Robbery,ROBBERY - STREET,B2,287,,2018-08-01 14:30:00,2018,8,Wednesday,14,Part One,VERNON ST,42.33058731,-71.08451303,"(42.33058731, -71.08451303)"
I182060810,371,Robbery,ROBBERY - HOME INVASION,E18,493,,2018-08-01 14:52:00,2018,8,Wednesday,14,Part One,REDDY AVE,42.26285498,-71.11181148,"(42.26285498, -71.11181148)"
I182060613,361,Robbery,ROBBERY - OTHER,B3,469,,2018-07-31 20:04:00,2018,7,Tuesday,20,Part One,BLUE HILL AVE,42.27685614,-71.09359685,"(42.27685614, -71.09359685)"
I182060551,311,Robbery,ROBBERY - COMMERCIAL,C11,343,,2018-07-31 17:00:00,2018,7,Tuesday,17,Part One,GENEVA AVE,42.30328018,-71.07122308,"(42.30328018, -71.07122308)"
I182060379,301,Robbery,ROBBERY - STREET,A1,123,,2018-07-31 06:31:00,2018,7,Tuesday,6,Part One,WASHINGTON ST,42.34997256,-71.06348817,"(42.34997256, -71.06348817)"
I182060353,301,Robbery,ROBBERY - STREET,A1,101,,2018-07-31 01:25:00,2018,7,Tuesday,1,Part One,STATE ST,42.35942556,-71.05288819,"(42.35942556, -71.05288819)"
I182060347,301,Robbery,ROBBERY - STREET,E18,485,,2018-07-31 00:08:00,2018,7,Tuesday,0,Part One,RIVER ST,42.26361605,-71.10395167,"(42.26361605, -71.10395167)"
I182060235,301,Robbery,ROBBERY - STREET,B3,457,,2018-07-28 21:30:00,2018,7,Saturday,21,Part One,ESMOND ST,42.29861988,-71.08511004,"(42.29861988, -71.08511004)"
I182060212,301,Robbery,ROBBERY - STREET,A1,119,,2018-07-30 16:28:00,2018,7,Monday,16,Part One,TREMONT ST,42.35624888,-71.06227065,"(42.35624888, -71.06227065)"
I182059937,301,Robbery,ROBBERY - STREET,B2,183,,2018-07-29 18:30:00,2018,7,Sunday,18,Part One,LEYLAND ST,42.32066147,-71.07067867,"(42.32066147, -71.07067867)"
I182059648,311,Robbery,ROBBERY - COMMERCIAL,C11,337,,2018-07-29 12:15:00,2018,7,Sunday,12,Part One,OLNEY ST,42.30512773,-71.07370747,"(42.30512773, -71.07370747)"
I182059648,361,Robbery,ROBBERY - OTHER,C11,337,,2018-07-29 12:15:00,2018,7,Sunday,12,Part One,OLNEY ST,42.30512773,-71.07370747,"(42.30512773, -71.07370747)"
I182059556,301,Robbery,ROBBERY - STREET,D4,143,,2018-07-28 12:57:00,2018,7,Saturday,12,Part One,BOYLSTON ST,42.34932471,-71.08014801,"(42.34932471, -71.08014801)"
I182059550,301,Robbery,ROBBERY - STREET,A1,121,,2018-07-28 12:24:00,2018,7,Saturday,12,Part One,STUART ST,42.35106637,-71.06549569,"(42.35106637, -71.06549569)"
I182059433,301,Robbery,ROBBERY - STREET,C11,366,,2018-07-27 20:30:00,2018,7,Friday,20,Part One,FLORIDA ST,42.29080488,-71.05965861,"(42.29080488, -71.05965861)"
I182058957,301,Robbery,ROBBERY - STREET,C11,460,,2018-07-26 12:55:00,2018,7,Thursday,12,Part One,GENEVA AVE,42.30546333,-71.0773834,"(42.30546333, -71.07738340)"
I182058817,361,Robbery,ROBBERY - OTHER,A15,900,,2018-07-25 20:26:00,2018,7,Wednesday,20,Part One,MEDFORD ST,42.37863715,-71.053364,"(42.37863715, -71.05336400)"
I182058252,361,Robbery,ROBBERY - OTHER,B2,321,,2018-07-24 09:00:00,2018,7,Tuesday,9,Part One,DEVON ST,42.31113699,-71.08227667,"(42.31113699, -71.08227667)"
I182058148,311,Robbery,ROBBERY - COMMERCIAL,C11,350,,2018-07-23 19:42:00,2018,7,Monday,19,Part One,DORCHESTER AVE,42.30254239,-71.0595669,"(42.30254239, -71.05956690)"
I182058148,361,Robbery,ROBBERY - OTHER,C11,350,,2018-07-23 19:42:00,2018,7,Monday,19,Part One,DORCHESTER AVE,42.30254239,-71.0595669,"(42.30254239, -71.05956690)"
I182058124,301,Robbery,ROBBERY - STREET,A1,116,,2018-07-23 14:00:00,2018,7,Monday,14,Part One,BEACH ST,42.35125902,-71.06009371,"(42.35125902, -71.06009371)"
I182058033,301,Robbery,ROBBERY - STREET,B2,179,,2018-07-23 14:39:00,2018,7,Monday,14,Part One,MASSACHUSETTS AVE,42.33207616,-71.07145394,"(42.33207616, -71.07145394)"
I182057985,361,Robbery,ROBBERY - OTHER,A1,102,,2018-07-23 12:15:00,2018,7,Monday,12,Part One,TREMONT ST,42.356585,-71.06189505,"(42.35658500, -71.06189505)"
I182057721,301,Robbery,ROBBERY - STREET,A1,119,,2018-07-21 01:00:00,2018,7,Saturday,1,Part One,BOYLSTON ST,42.35241815,-71.06525499,"(42.35241815, -71.06525499)"
I182057709,301,Robbery,ROBBERY - STREET,B2,318,,2018-07-21 19:00:00,2018,7,Saturday,19,Part One,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)"
I182057614,301,Robbery,ROBBERY - STREET,A15,900,,2018-07-22 00:43:00,2018,7,Sunday,0,Part One,DECATUR ST,42.37829205,-71.05387024,"(42.37829205, -71.05387024)"
I182057533,301,Robbery,ROBBERY - STREET,B3,436,,2018-07-21 17:36:00,2018,7,Saturday,17,Part One,CHIPMAN ST,42.2888571,-71.07473665,"(42.28885710, -71.07473665)"
I182057483,301,Robbery,ROBBERY - STREET,B2,280,,2018-07-21 14:40:00,2018,7,Saturday,14,Part One,DUDLEY ST,42.32872589,-71.08382217,"(42.32872589, -71.08382217)"
I182057442,301,Robbery,ROBBERY - STREET,C6,177,,2018-07-21 11:05:00,2018,7,Saturday,11,Part One,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182057201,351,Robbery,ROBBERY - BANK,D4,134,,2018-07-20 15:12:00,2018,7,Friday,15,Part One,BOYLSTON ST,42.3503787,-71.07626098,"(42.35037870, -71.07626098)"
I182056996,301,Robbery,ROBBERY - STREET,A1,103,,2018-07-19 21:05:00,2018,7,Thursday,21,Part One,WASHINGTON ST,42.35680075,-71.05893025,"(42.35680075, -71.05893025)"
I182056993,311,Robbery,ROBBERY - COMMERCIAL,C11,817,,2018-07-19 22:15:00,2018,7,Thursday,22,Part One,TALBOT AVE,42.28863812,-71.06631579,"(42.28863812, -71.06631579)"
I182056962,361,Robbery,ROBBERY - OTHER,E13,906,,2018-07-19 20:21:00,2018,7,Thursday,20,Part One,WALDEN ST,42.32561013,-71.10449956,"(42.32561013, -71.10449956)"
I182056410,301,Robbery,ROBBERY - STREET,C11,350,,2018-07-18 02:13:00,2018,7,Wednesday,2,Part One,CLAYTON ST,42.30331475,-71.05630027,"(42.30331475, -71.05630027)"
I182056149,361,Robbery,ROBBERY - OTHER,B2,297,,2018-07-17 05:55:00,2018,7,Tuesday,5,Part One,ROCKLAND ST,42.32224199,-71.08432664,"(42.32224199, -71.08432664)"
I182056141,301,Robbery,ROBBERY - STREET,A1,102,,2018-07-17 04:39:00,2018,7,Tuesday,4,Part One,TREMONT ST,42.356585,-71.06189505,"(42.35658500, -71.06189505)"
I182056132,361,Robbery,ROBBERY - OTHER,A7,10,,2018-07-17 01:46:00,2018,7,Tuesday,1,Part One,LEYDEN ST,42.38969786,-71.00957095,"(42.38969786, -71.00957095)"
I182055932,301,Robbery,ROBBERY - STREET,B2,287,,2018-07-16 11:04:00,2018,7,Monday,11,Part One,WASHINGTON ST,42.33044113,-71.08373481,"(42.33044113, -71.08373481)"
I182055894,301,Robbery,ROBBERY - STREET,C11,462,,2018-07-15 22:30:00,2018,7,Sunday,22,Part One,BULLARD ST,42.30175853,-71.0746298,"(42.30175853, -71.07462980)"
I182055854,361,Robbery,ROBBERY - OTHER,A1,111,,2018-07-16 05:00:00,2018,7,Monday,5,Part One,WASHINGTON ST,42.35272948,-71.06256291,"(42.35272948, -71.06256291)"
I182055766,301,Robbery,ROBBERY - STREET,A1,116,,2018-07-15 17:04:00,2018,7,Sunday,17,Part One,BEACH ST,42.35142278,-71.06084508,"(42.35142278, -71.06084508)"
I182055735,361,Robbery,ROBBERY - OTHER,B3,427,,2018-07-15 16:17:00,2018,7,Sunday,16,Part One,MILDRED AVE,42.27781081,-71.0910429,"(42.27781081, -71.09104290)"
I182055651,361,Robbery,ROBBERY - OTHER,B2,276,,2018-07-15 10:49:52,2018,7,Sunday,10,Part One,MELNEA CASS BLVD,42.33330171,-71.08181675,"(42.33330171, -71.08181675)"
I182055352,301,Robbery,ROBBERY - STREET,A7,17,,2018-07-14 03:54:00,2018,7,Saturday,3,Part One,LEXINGTON ST,42.38069279,-71.02954916,"(42.38069279, -71.02954916)"
I182055054,301,Robbery,ROBBERY - STREET,D4,167,,2018-07-13 03:30:00,2018,7,Friday,3,Part One,HARRISON AVE,42.34011999,-71.06868299,"(42.34011999, -71.06868299)"
I182055045,301,Robbery,ROBBERY - STREET,B2,287,,2018-07-13 02:47:00,2018,7,Friday,2,Part One,SHAWMUT AVE,42.33192532,-71.08411222,"(42.33192532, -71.08411222)"
I182055034,301,Robbery,ROBBERY - STREET,B2,258,,2018-07-12 22:55:00,2018,7,Thursday,22,Part One,COLUMBIA RD,42.315969,-71.066253,"(42.31596900, -71.06625300)"
I182054873,361,Robbery,ROBBERY - OTHER,C11,335,,2018-07-06 06:00:00,2018,7,Friday,6,Part One,QUINCY ST,42.30947016,-71.06664424,"(42.30947016, -71.06664424)"
I182054802,301,Robbery,ROBBERY - STREET,C6,175,,2018-07-12 09:00:00,2018,7,Thursday,9,Part One,SOUTHAMPTON ST,42.33233682,-71.07129642,"(42.33233682, -71.07129642)"
I182054649,301,Robbery,ROBBERY - STREET,A15,59,,2018-07-11 19:29:00,2018,7,Wednesday,19,Part One,MAIN ST,42.37515337,-71.06409893,"(42.37515337, -71.06409893)"
I182054434,381,Robbery,ROBBERY - CAR JACKING,B2,280,,2018-07-11 05:58:00,2018,7,Wednesday,5,Part One,DUDLEY ST,42.32872589,-71.08382217,"(42.32872589, -71.08382217)"
I182054407,311,Robbery,ROBBERY - COMMERCIAL,A1,66,,2018-07-10 22:55:00,2018,7,Tuesday,22,Part One,CHARLES ST,42.3606447,-71.07086192,"(42.36064470, -71.07086192)"
I182054398,301,Robbery,ROBBERY - STREET,B3,458,,2018-07-10 21:45:00,2018,7,Tuesday,21,Part One,COLUMBIA RD,42.30340413,-71.08384306,"(42.30340413, -71.08384306)"
I182054247,301,Robbery,ROBBERY - STREET,B2,279,,2018-07-09 21:00:00,2018,7,Monday,21,Part One,DUDLEY ST,42.32853529,-71.08213874,"(42.32853529, -71.08213874)"
I182054062,301,Robbery,ROBBERY - STREET,C11,356,,2018-07-08 21:30:00,2018,7,Sunday,21,Part One,GENEVA AVE,42.2991807,-71.06429139,"(42.29918070, -71.06429139)"
I182054012,301,Robbery,ROBBERY - STREET,B3,944,,2018-07-09 18:20:00,2018,7,Monday,18,Part One,STRATTON ST,42.28881222,-71.08513152,"(42.28881222, -71.08513152)"
I182053744,301,Robbery,ROBBERY - STREET,C11,248,,2018-07-08 21:05:00,2018,7,Sunday,21,Part One,DORIS ST,42.31339913,-71.05649373,"(42.31339913, -71.05649373)"
I182053614,301,Robbery,ROBBERY - STREET,A1,109,,2018-07-07 20:00:00,2018,7,Saturday,20,Part One,HIGH ST,42.35649296,-71.05259107,"(42.35649296, -71.05259107)"
I182053529,361,Robbery,ROBBERY - OTHER,E18,480,,2018-07-07 23:02:00,2018,7,Saturday,23,Part One,FAIRLAWN AVE,42.26788791,-71.10067012,"(42.26788791, -71.10067012)"
I182053524,311,Robbery,ROBBERY - COMMERCIAL,D4,170,,2018-07-07 22:35:00,2018,7,Saturday,22,Part One,WASHINGTON ST,42.33675016,-71.07662788,"(42.33675016, -71.07662788)"
I182053435,311,Robbery,ROBBERY - COMMERCIAL,D4,168,,2018-07-07 12:30:00,2018,7,Saturday,12,Part One,WASHINGTON ST,42.33816387,-71.07461217,"(42.33816387, -71.07461217)"
I182053378,301,Robbery,ROBBERY - STREET,B3,908,,2018-07-06 23:00:00,2018,7,Friday,23,Part One,SHANDON RD,42.29558793,-71.09012664,"(42.29558793, -71.09012664)"
I182053324,361,Robbery,ROBBERY - OTHER,C11,453,,2018-07-07 06:39:00,2018,7,Saturday,6,Part One,WASHINGTON ST,42.29745339,-71.07253425,"(42.29745339, -71.07253425)"
I182053284,301,Robbery,ROBBERY - STREET,C11,462,,2018-07-06 20:30:00,2018,7,Friday,20,Part One,BULLARD ST,42.30175853,-71.0746298,"(42.30175853, -71.07462980)"
I182053275,301,Robbery,ROBBERY - STREET,D14,780,,2018-07-06 23:24:00,2018,7,Friday,23,Part One,ETNA ST,42.35411626,-71.14715497,"(42.35411626, -71.14715497)"
I182053248,301,Robbery,ROBBERY - STREET,B2,282,,2018-07-06 21:09:00,2018,7,Friday,21,Part One,WARREN ST,42.32832226,-71.08321495,"(42.32832226, -71.08321495)"
I182052778,351,Robbery,ROBBERY - BANK,D4,623,,2018-07-05 12:32:00,2018,7,Thursday,12,Part One,COMMONWEALTH AVE,42.34877575,-71.09606805,"(42.34877575, -71.09606805)"
I182052735,301,Robbery,ROBBERY - STREET,A1,116,,2018-07-05 10:24:00,2018,7,Thursday,10,Part One,EDINBORO ST,42.351633,-71.059588,"(42.35163300, -71.05958800)"
I182052693,361,Robbery,ROBBERY - OTHER,B3,476,,2018-07-05 07:43:00,2018,7,Thursday,7,Part One,REGIS RD,42.27064206,-71.09587908,"(42.27064206, -71.09587908)"
I182052653,371,Robbery,ROBBERY - HOME INVASION,A7,12,,2018-07-05 02:42:00,2018,7,Thursday,2,Part One,BRANDYWYNE DR,42.38783615,-71.01203798,"(42.38783615, -71.01203798)"
I182052591,301,Robbery,ROBBERY - STREET,C11,247,,2018-07-04 21:45:00,2018,7,Wednesday,21,Part One,PEARL ST,42.31493506,-71.05834852,"(42.31493506, -71.05834852)"
I182052485,371,Robbery,ROBBERY - HOME INVASION,E5,687,,2018-07-04 13:25:00,2018,7,Wednesday,13,Part One,BELGRADE AVE,42.28608881,-71.14255416,"(42.28608881, -71.14255416)"
I182052451,361,Robbery,ROBBERY - OTHER,A7,24,,2018-07-04 11:12:00,2018,7,Wednesday,11,Part One,EUTAW ST,42.37949215,-71.03685008,"(42.37949215, -71.03685008)"
I182052301,301,Robbery,ROBBERY - STREET,B2,325,,2018-07-03 19:32:00,2018,7,Tuesday,19,Part One,DOVE ST,42.3154557,-71.07808193,"(42.31545570, -71.07808193)"
I182052264,301,Robbery,ROBBERY - STREET,A7,28,,2018-07-03 17:28:00,2018,7,Tuesday,17,Part One,HAVRE ST,42.37357854,-71.03688491,"(42.37357854, -71.03688491)"
I182052225,351,Robbery,ROBBERY - BANK,A1,97,,2018-07-03 14:50:00,2018,7,Tuesday,14,Part One,SCHOOL ST,42.3575462,-71.05881953,"(42.35754620, -71.05881953)"
I182052089,301,Robbery,ROBBERY - STREET,C11,334,,2018-07-02 23:56:00,2018,7,Monday,23,Part One,HENDRY ST,42.30893903,-71.06461576,"(42.30893903, -71.06461576)"
I182052033,361,Robbery,ROBBERY - OTHER,B2,320,,2018-07-02 19:30:00,2018,7,Monday,19,Part One,BLUE HILL AVE,42.3088984,-71.0830519,"(42.30889840, -71.08305190)"
I182051725,301,Robbery,ROBBERY - STREET,A15,44,,2018-07-01 21:00:00,2018,7,Sunday,21,Part One,POLK ST,42.37912706,-71.06122663,"(42.37912706, -71.06122663)"
I182051643,301,Robbery,ROBBERY - STREET,C6,194,,2018-07-01 14:49:00,2018,7,Sunday,14,Part One,DORCHESTER AVE,42.33014012,-71.05695787,"(42.33014012, -71.05695787)"
I182051582,301,Robbery,ROBBERY - STREET,D4,284,,2018-07-01 10:43:00,2018,7,Sunday,10,Part One,COLUMBUS AVE,42.340018,-71.082515,"(42.34001800, -71.08251500)"
I182051536,301,Robbery,ROBBERY - STREET,D4,626,,2018-07-01 05:50:00,2018,7,Sunday,5,Part One,JERSEY ST,42.34326644,-71.09719321,"(42.34326644, -71.09719321)"
I182051507,301,Robbery,ROBBERY - STREET,A1,118,,2018-07-01 02:54:00,2018,7,Sunday,2,Part One,CHURCH ST,42.35105768,-71.06878946,"(42.35105768, -71.06878946)"
I182051450,301,Robbery,ROBBERY - STREET,D4,134,,2018-06-30 21:18:00,2018,6,Saturday,21,Part One,BOYLSTON ST,42.3503787,-71.07626098,"(42.35037870, -71.07626098)"
I182051390,301,Robbery,ROBBERY - STREET,C6,186,,2018-06-30 16:19:00,2018,6,Saturday,16,Part One,BOSTON ST,42.32692112,-71.05841861,"(42.32692112, -71.05841861)"
I182051349,311,Robbery,ROBBERY - COMMERCIAL,A1,73,,2018-06-30 12:50:00,2018,6,Saturday,12,Part One,CENTER PLZ,42.35988372,-71.06016189,"(42.35988372, -71.06016189)"
I182051264,361,Robbery,ROBBERY - OTHER,C6,186,,2018-06-30 07:11:00,2018,6,Saturday,7,Part One,MASSACHUSETTS AVE,42.32553801,-71.06579592,"(42.32553801, -71.06579592)"
I182051258,301,Robbery,ROBBERY - STREET,A1,100,,2018-06-30 02:15:00,2018,6,Saturday,2,Part One,STATE ST,42.35902548,-71.05567996,"(42.35902548, -71.05567996)"
I182051174,301,Robbery,ROBBERY - STREET,E13,581,,2018-06-29 21:41:00,2018,6,Friday,21,Part One,CENTRE ST,42.32291406,-71.10328402,"(42.32291406, -71.10328402)"
I182050982,361,Robbery,ROBBERY - OTHER,B3,429,,2018-06-29 10:57:00,2018,6,Friday,10,Part One,HILDRETH ST,42.2831323,-71.0872187,"(42.28313230, -71.08721870)"
I182050902,301,Robbery,ROBBERY - STREET,D4,627,,2018-06-28 23:36:00,2018,6,Thursday,23,Part One,BOYLSTON ST,42.34601613,-71.0938121,"(42.34601613, -71.09381210)"
I182050698,301,Robbery,ROBBERY - STREET,B2,287,,2018-06-28 12:02:00,2018,6,Thursday,12,Part One,WASHINGTON ST,42.33044113,-71.08373481,"(42.33044113, -71.08373481)"
I182050678,351,Robbery,ROBBERY - BANK,A15,56,,2018-06-28 11:15:00,2018,6,Thursday,11,Part One,THOMPSON SQ,42.3751514,-71.0639642,"(42.37515140, -71.06396420)"
I182050602,301,Robbery,ROBBERY - STREET,B2,325,,2018-06-28 01:39:00,2018,6,Thursday,1,Part One,DACIA ST,42.31484522,-71.07738943,"(42.31484522, -71.07738943)"
I182050573,301,Robbery,ROBBERY - STREET,A1,173,,2018-06-27 22:32:00,2018,6,Wednesday,22,Part One,ATLANTIC AVE,42.35178454,-71.05590762,"(42.35178454, -71.05590762)"
I182050570,311,Robbery,ROBBERY - COMMERCIAL,A15,60,,2018-06-27 22:35:00,2018,6,Wednesday,22,Part One,THOMPSON SQ,42.3751514,-71.0639642,"(42.37515140, -71.06396420)"
I182050566,311,Robbery,ROBBERY - COMMERCIAL,A15,59,,2018-06-27 22:23:00,2018,6,Wednesday,22,Part One,AUSTIN ST,42.37479451,-71.06600871,"(42.37479451, -71.06600871)"
I182050519,301,Robbery,ROBBERY - STREET,C6,177,,2018-06-24 20:03:00,2018,6,Sunday,20,Part One,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182050213,371,Robbery,ROBBERY - HOME INVASION,C6,936,,2018-06-26 23:08:00,2018,6,Tuesday,23,Part One,ORTON-MAROTTA WAY,42.33857289,-71.05575501,"(42.33857289, -71.05575501)"
I182050212,301,Robbery,ROBBERY - STREET,B2,329,,2018-06-26 23:17:00,2018,6,Tuesday,23,Part One,DEVON ST,42.3092779,-71.07868791,"(42.30927790, -71.07868791)"
I182050130,301,Robbery,ROBBERY - STREET,A15,42,,2018-06-26 05:00:00,2018,6,Tuesday,5,Part One,MEDFORD ST,42.37914075,-71.05672546,"(42.37914075, -71.05672546)"
I182050096,301,Robbery,ROBBERY - STREET,C11,345,,2018-06-26 17:10:00,2018,6,Tuesday,17,Part One,DRAPER ST,42.30287064,-71.06399249,"(42.30287064, -71.06399249)"
I182049973,301,Robbery,ROBBERY - STREET,A15,38,,2018-06-26 08:52:00,2018,6,Tuesday,8,Part One,THIRD AVE,42.37627664,-71.05383757,"(42.37627664, -71.05383757)"
I182049928,371,Robbery,ROBBERY - HOME INVASION,A15,51,,2018-06-26 06:52:00,2018,6,Tuesday,6,Part One,MAIN ST,42.38140059,-71.07104354,"(42.38140059, -71.07104354)"
I182049879,311,Robbery,ROBBERY - COMMERCIAL,E18,525,,2018-06-25 20:13:00,2018,6,Monday,20,Part One,NEPONSET VALLEY PKWY,42.23603929,-71.12718154,"(42.23603929, -71.12718154)"
I182049748,301,Robbery,ROBBERY - STREET,A15,56,,2018-06-25 05:15:00,2018,6,Monday,5,Part One,GREEN ST,42.37601727,-71.06391748,"(42.37601727, -71.06391748)"
I182049535,301,Robbery,ROBBERY - STREET,A15,42,,2018-06-24 23:28:00,2018,6,Sunday,23,Part One,OLD LANDING WAY,42.37982191,-71.0554713,"(42.37982191, -71.05547130)"
I182049501,301,Robbery,ROBBERY - STREET,D4,170,,2018-06-24 21:04:00,2018,6,Sunday,21,Part One,E SPRINGFIELD ST,42.3354595,-71.07448891,"(42.33545950, -71.07448891)"
I182049361,301,Robbery,ROBBERY - STREET,A1,119,,2018-06-23 21:00:00,2018,6,Saturday,21,Part One,PARK ST,42.35650174,-71.0619996,"(42.35650174, -71.06199960)"
I182049329,311,Robbery,ROBBERY - COMMERCIAL,B3,476,,2018-06-24 10:05:00,2018,6,Sunday,10,Part One,BLUE HILL AVE,42.26817397,-71.09387677,"(42.26817397, -71.09387677)"
I182049283,301,Robbery,ROBBERY - STREET,C6,186,,2018-06-24 01:31:00,2018,6,Sunday,1,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182049279,361,Robbery,ROBBERY - OTHER,A1,117,,2018-06-24 02:42:00,2018,6,Sunday,2,Part One,HARRISON AVE,42.35115526,-71.06130589,"(42.35115526, -71.06130589)"
I182049103,361,Robbery,ROBBERY - OTHER,A1,102,,2018-06-23 12:55:00,2018,6,Saturday,12,Part One,WASHINGTON ST,42.35591935,-71.06000539,"(42.35591935, -71.06000539)"
I182049040,301,Robbery,ROBBERY - STREET,D4,171,,2018-06-23 06:30:00,2018,6,Saturday,6,Part One,E BERKELEY ST,42.34393909,-71.06594762,"(42.34393909, -71.06594762)"
I182049007,301,Robbery,ROBBERY - STREET,A1,119,,2018-06-23 02:45:00,2018,6,Saturday,2,Part One,TREMONT ST,42.35637531,-71.06213513,"(42.35637531, -71.06213513)"
I182048992,301,Robbery,ROBBERY - STREET,D4,271,,2018-06-23 02:37:00,2018,6,Saturday,2,Part One,WASHINGTON ST,42.3353741,-71.0783156,"(42.33537410, -71.07831560)"
